новости,1521
за,826
проект,2092
от,1665
ютуб,2987
канала,1036
по,1792
вопросам,475
рекламы,2238
ссылка,2556
для,699
этот,2978
канал,1035
всем,495
привет,2011
последнее,1934
время,488
новостей,1520
не,1469
так,2650
много,1336
но,1513
уверен,2755
что,2937
вы,516
нашим,1465
поэтому,1960
написать,1422
тему,2690
именно,953
вам,371
какой,1031
хотите,2862
увидеть,2758
завтра,832
если,794
то,2706
буду,336
снова,2463
вами,372
ролик,2266
между,1276
ufc,204
первым,1744
на,1391
года,578
об,1546
этом,2976
сообщил,2499
менеджер,1280
процентов,2117
его,784
следующий,2424
будет,332
против,2112
заявил,878
разработке,2182
пока,1847
нет,1493
даты,639
хочет,2866
декабре,663
прошлого,2125
всю,503
итогам,1006
пяти,2145
которой,1138
двое,648
результат,2227
47,77
их,1009
третий,2735
со,2464
48,78
46,76
американский,255
пол,1860
победы,1797
думаю,777
хотя,2864
бы,345
один,1599
он,1623
может,1354
своей,2332
кого,1083
угодно,2759
люди,1236
почти,1957
каждый,1020
день,677
моему,1352
ему,792
советы,2478
вышел,545
вместо,444
него,1472
выйдет,526
тоже,2714
из,938
другого,766
все,491
равно,2161
быстро,354
слишком,2425
этого,2974
парня,1729
сказал,2406
ваш,376
прогноз,2066
данный,634
михаил,1325
александра,249
российский,2272
стало,2571
известно,940
том,2717
бывшего,347
сейчас,2364
проблемы,2056
хочу,2869
ничего,1512
говорить,573
потому,1953
знаю,907
такая,2651
информация,985
очень,1713
чтобы,2939
состоянии,2513
здоровья,889
нужно,1540
как,1024
только,2716
появится,1964
тогда,2712
можно,1357
чем,2917
всё,505
интервью,972
напомним,1424
2019,40
уже,2767
первом,1740
когда,1082
александр,248
без,281
труда,2739
после,1932
над,1399
провел,2059
самый,2318
вне,445
зависимости,830
того,2713
ситуации,2400
четыре,2926
подряд,1831
наконец,1413
который,1143
делает,668
вокруг,469
меня,1285
представляет,1995
однако,1602
нельзя,1484
считать,2642
просто,2109
путь,2141
держать,684
это,2973
сделать,2354
самым,2319
мира,1321
me,173
портал,1925
лечение,1189
25,48
февраля,2819
некоторые,1482
которые,1142
были,351
изначально,946
также,2652
предлагаем,1982
выплат,528
почему,1955
2021,42
количество,1089
проведение,2057
раз,2164
2020,41
годом,579
раньше,2194
порядка,1928
1000,14
рамках,2191
эти,2969
услуги,2793
будут,337
соответствии,2503
была,350
было,352
тот,2723
факт,2813
всегда,492
бывает,346
первой,1739
могут,1344
еще,797
больше,312
заместитель,851
директора,697
организации,1642
помощи,1905
министерства,1313
здравоохранения,890
глава,555
государства,596
принял,2030
министра,1316
развития,2170
отчет,1703
деятельности,691
реализации,2204
задач,836
повышение,1800
интернет,979
связи,2346
числе,2929
процессе,2120
проекта,2093
цифровой,2894
основной,1650
которого,1136
всех,498
связанных,2344
проблем,2053
населения,1433
начала,1445
порядке,1929
фонд,2830
качестве,1050
банка,278
ао,266
банк,277
счет,2638
средств,2548
фонда,2831
выплаты,529
лица,1200
деньги,678
24,47
до,709
мая,1272
2022,43
covid,146
19,30
целью,2881
возможность,464
проверки,2062
суммы,2626
заявки,881
получения,1885
провести,2063
получить,1893
информацию,984
сайте,2304
www,216
карту,1044
статистика,2578
или,947
людей,1235
дтп,774
жизни,817
граждан,605
карта,1042
местных,1298
органов,1645
полиции,1870
снижения,2462
мер,1287
анализа,257
решений,2250
страны,2605
посмотреть,1939
комитета,1102
сервис,2370
on,181
your,219
друзей,771
жду,804
подписку,1822
мы,1388
вроде,489
вместе,443
под,1804
твой,2671
новый,1525
новых,1527
твоя,2672
позиция,1843
140,22
лишь,1210
кстати,1171
наверное,1395
твои,2669
ты,2748
